strategy,model,timestamp,task_id,status,pass_1st_round,rounds_to_pass,total_rounds,failed_test
baseline,deepseek-coder:1.3b,20260725T114302Z,3,fail_assert,False,,1,assert is_not_prime(2) == False
baseline,deepseek-coder:1.3b,20260725T114302Z,4,error_runtime,False,,1,"assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]"
baseline,deepseek-coder:1.3b,20260725T114302Z,92,fail_assert,False,,1,assert is_undulating(1212121) == True
baseline,deepseek-coder:1.3b,20260725T114302Z,106,error_runtime,False,,1,"assert add_lists([5, 6, 7], (9, 10)) == (9, 10, 5, 6, 7)"
baseline,deepseek-coder:1.3b,20260725T114302Z,111,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,119,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,131,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,135,fail_assert,False,,1,assert hexagonal_num(10) == 190
baseline,deepseek-coder:1.3b,20260725T114302Z,141,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,223,error_runtime,False,,1,"assert is_majority([1, 1, 2, 2], 5, 1) == False"
baseline,deepseek-coder:1.3b,20260725T114302Z,224,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,252,fail_assert,False,,1,"assert convert(1) == (1.0, 0.0)"
baseline,deepseek-coder:1.3b,20260725T114302Z,256,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,272,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,277,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,281,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,295,fail_assert,False,,1,assert sum_div(8)==7
baseline,deepseek-coder:1.3b,20260725T114302Z,307,error_runtime,False,,1,"assert colon_tuplex((""HELLO"", 5, [], True) ,2,50)==(""HELLO"", 5, [50], True)"
baseline,deepseek-coder:1.3b,20260725T114302Z,308,fail_assert,False,,1,"assert large_product([1, 2, 3, 4, 5, 6],[3, 6, 8, 9, 10, 6],3)==[60, 54, 50]"
baseline,deepseek-coder:1.3b,20260725T114302Z,398,error_runtime,False,,1,"assert sum_of_digits([[10,20,4,5,'b',70,'a']])==19"
baseline,deepseek-coder:1.3b,20260725T114302Z,413,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,414,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,415,fail_assert,False,,1,"assert max_Product([1,2,3,4,7,0,8,4]) == (7,8)"
